"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","M1","M2","M3","M4","M5","M1_ratio","M2_ratio","M3_ratio","M4_ratio","M5_ratio"
"GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,3,2,2,5,2,15,15,14,-10224.4271,-10202.061,-10183.417,-10201.9129,-10246.6019,0.250390089210184,0.249705584997688,0.249135566422186,0.249701054962922,0.251069479433629
"GP","F",17,"U","GT3","A",4,3,"services","services","course","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","yes",5,2,2,1,2,5,23,13,13,13,-9531.46520000002,-9508.36519999998,-9507.93509999998,-9505.93529999999,-9438.97290000001,0.251084345747318,0.250323503980597,0.250309346606902,0.250243524461158,0.248043493840684
"GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,2,"no","yes","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,8,10,10,10,-10268.6099,-10081.1718,-9888.6418,-9800.81600000002,-9786.52059999999,0.259589223391527,0.253648917530742,0.247605291040741,0.24486769989018,0.24442323885797
"GP","M",16,"U","GT3","T",3,1,"other","other","reputation","mother",1,1,0,"no","no","no","yes","yes","yes","no","no",5,3,2,2,2,5,2,12,12,14,-10224.4271,-10202.061,-10600.0626,-10584.2224,-10634.9318,0.243315473381441,0.242654062627527,0.25452993433601,0.254052946867649,0.255581211491598
"GP","M",17,"U","LE3","T",2,3,"services","services","reputation","father",1,2,0,"no","yes","yes","no","no","yes","yes","no",5,3,3,1,3,3,2,12,11,12,-9437.46160000002,-9425.6522,-9457.01300000001,-9447.80039999999,-9468.36169999998,0.249676042198273,0.249285730753114,0.250322770214874,0.25001794924928,0.250698473597989
"GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,4,2,1,2,5,0,8,11,11,-9390.16140000001,-9384.2477,-9393.37560000002,-9391.63479999999,-9401.73780000002,0.249931128389386,0.249734419352037,0.250038069189484,0.249980148137363,0.2503163766948
"GP","M",15,"U","GT3","T",2,2,"services","services","home","father",1,4,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,4,1,2,5,6,16,14,15,-10859.1848,-10825.5145,-10763.5739,-10771.4486,-10739.4535,0.251953299154439,0.250976019638009,0.249182174831347,0.249409946367935,0.248485021483873
"MS","M",19,"U","LE3","T",1,1,"other","at_home","course","father",1,1,0,"no","no","no","no","yes","yes","yes","no",3,2,3,3,3,5,5,8,9,9,-10050.6145,-10066.7977,-9666.5069,-9707.99469999999,-9705.45920000003,0.256741934328994,0.257261684062181,0.244530612497762,0.245838124526767,0.245758137960892
"GP","F",19,"U","GT3","T",0,1,"at_home","other","course","other",1,2,3,"no","yes","no","no","no","no","no","no",3,4,2,1,1,5,2,7,8,9,-11332.8175,-12706.6404,-12187.1398,-13434.2331,-13617.2186,0.218168580358191,0.251261348087019,0.238538321110651,0.269526575155121,0.27420440577889
"GP","F",17,"U","GT3","T",4,2,"other","other","reputation","mother",2,3,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,1,3,0,15,12,14,-10265.9033,-10246.3321,-9779.93740000002,-9789.52210000002,-9868.57090000003,0.258688880286283,0.258068436679865,0.243461723852873,0.243758486474443,0.246211417072586
"GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,0,13,13,12,-9449.67070000001,-9438.27110000002,-9457.01300000001,-9447.80039999999,-9482.14509999999,0.249824543034631,0.249447989938808,0.250067195054548,0.249762747474066,0.250898487020073
"GP","M",17,"U","GT3","T",3,3,"other","services","reputation","mother",1,1,0,"no","no","no","yes","no","yes","yes","no",4,3,5,3,5,5,3,14,15,16,-11906.2364,-11874.5299,-11959.6373,-11895.2016,-11996.9632,0.249468917913072,0.248639397114268,0.250868512257263,0.249180095119951,0.251848657104917
"MS","F",18,"U","GT3","T",3,3,"services","services","course","father",1,2,0,"no","yes","no","no","yes","yes","no","yes",5,3,4,1,1,5,0,10,9,9,-9968.3342,-9976.20669999998,-9887.50590000001,-9882.69359999999,-9833.2172,0.251855205878488,0.252104252986187,0.249303915517433,0.24915234649642,0.247596159535768
"GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",2,2,1,"no","no","yes","yes","no","yes","yes","no",4,4,2,1,1,3,12,11,10,10,-9414.67009999999,-9391.72289999999,-9437.03000000003,-9414.87900000002,-9399.05379999997,0.250106227144148,0.249344619402373,0.250849236398693,0.250113164710778,0.249587827937648
"GP","M",17,"R","LE3","T",1,1,"other","services","course","mother",4,2,3,"no","no","no","yes","yes","no","no","yes",5,3,5,1,5,5,0,5,8,7,-9964.9531,-10792.554,-10152.2076,-10889.6794,-11056.7369,0.232331066384633,0.256577180775663,0.23773477450552,0.259485350436442,0.264519071102995
"GP","F",16,"U","LE3","T",4,4,"health","health","other","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",5,4,5,1,1,4,4,14,15,16,-11871.8822,-11837.7011,-11111.3883,-11134.3638,-11182.5341,0.262269375045752,0.261316933647425,0.24141294338182,0.242032941415593,0.24333483811327
"GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,0,"no","no","yes","yes","yes","yes","yes","no",3,1,3,1,3,5,4,8,10,10,-9598.78170000001,-9603.4599,-9722.70880000001,-9737.06529999999,-9707.2988,0.247579308479351,0.247729864312084,0.251579889718491,0.252045001304247,0.251081031970094
"MS","F",18,"R","GT3","T",4,4,"other","teacher","other","father",3,2,0,"no","yes","yes","no","no","yes","yes","yes",3,2,2,4,2,5,10,14,12,11,-9418.59200000002,-9418.4995,-9474.28080000001,-9474.278,-9499.88870000001,0.248728581155487,0.248725530814206,0.250567721123864,0.250567628516806,0.251415249561022
"MS","M",18,"U","LE3","T",4,4,"teacher","services","other","mother",2,3,0,"no","no","yes","no","yes","yes","yes","yes",4,2,2,2,2,5,0,13,13,13,-9741.5904,-9725.63660000002,-9465.54629999998,-9468.54030000002,-9508.92140000001,0.255224949748412,0.254700507731411,0.246212067780379,0.246309127989615,0.247619690801411
"GP","F",19,"U","GT3","T",4,4,"health","other","reputation","other",2,2,0,"no","yes","yes","yes","yes","yes","yes","no",2,3,4,2,3,2,0,10,9,0,-24073.9933,-24190.2772,-26036.0695999999,-26052.1386,-25558.2179,0.236398003076362,0.237811418225435,0.260687527774196,0.260890394591918,0.254684470489317
"MS","M",18,"R","GT3","T",2,1,"other","other","other","mother",2,1,0,"no","no","no","yes","no","yes","yes","yes",4,4,3,1,3,5,5,7,6,7,-11631.5606,-11671.263,-11172.691,-11251.5063,-11230.6828,0.256619244534839,0.257720916450827,0.244025071549232,0.246170255677406,0.245602765694276
